Class Code,SUM(Message),MINIMUM(Sent Date),MAXIMUM(Sent Date)
TS20301,73,2015/02/24,2015/02/24
TS20306,1,2015/04/07,2015/04/07
TS20344,2,2015/05/20,2015/05/20
TS20949,3,2015/09/12,2015/09/12
TS21096,1,2015/08/07,2015/08/07
TS21197,5,2015/09/11,2015/09/11
TS22627,4,2015/02/03,2015/02/03
TS23101,1,2015/07/03,2015/07/03
TS23253,14,2015/09/12,2015/09/12
TS23277,1,2015/08/11,2015/08/11
TS23297,1,2015/01/25,2015/01/25
TS23411,7,2015/02/21,2015/02/21
TS23870,27,2015/09/12,2015/09/12
TS23971,8,2015/09/10,2015/09/10
TS24070,1,2015/03/13,2015/03/13
TS24133,1,2015/08/04,2015/08/04
TS24182,46,2015/09/12,2015/09/12
TS24207,1,2015/09/08,2015/09/08
TS24688,1,2014/11/12,2014/11/12
TS24706,1,2015/08/17,2015/08/17
TS24907,2,2015/08/27,2015/08/27
TS24950,1,2015/07/17,2015/07/17
TS25197,31,2015/09/12,2015/09/12
TS25663,6,2015/09/11,2015/09/11
TS25891,1,2015/09/04,2015/09/04
TS25894,1,2015/08/12,2015/08/12
TS26127,1,2015/01/30,2015/01/30
TS26227,1,2015/07/17,2015/07/17
TS26255,2,2015/07/11,2015/07/11
TS26575,3,2015/02/25,2015/02/25
TS26754,5,2015/05/23,2015/05/23
TS26897,1,2015/07/24,2015/07/24
TS27002,2,2015/07/30,2015/07/30
TS27129,1,2015/07/17,2015/07/17
TS27154,9,2015/09/10,2015/09/10
TS27259,8,2015/09/11,2015/09/11
TS27687,4,2015/02/01,2015/02/01
TS27953,9,2015/05/01,2015/05/01
TS28095,7,2015/09/09,2015/09/09
TS28132,5,2015/09/11,2015/09/11
TS28398,2,2015/06/27,2015/06/27
TS29034,1,2014/12/28,2014/12/28
TS29107,1,2014/10/06,2014/10/06
TS29909,49,2015/09/12,2015/09/12
TS30229,2,2015/02/19,2015/02/19
TS30250,2,2015/09/10,2015/09/10
TS30585,8,2015/09/11,2015/09/11
TS30625,5,2015/09/12,2015/09/12
TS30653,81,2015/02/24,2015/02/24
TS30859,2,2014/10/29,2014/10/29
TS31428,1,2015/09/02,2015/09/02
TS31435,1,2015/08/03,2015/08/03
TS31658,2,2015/04/06,2015/04/06
TS31723,1,2015/03/16,2015/03/16
TS31774,38,2015/09/12,2015/09/12
TS32061,2,2015/01/30,2015/01/30
TS32105,3,2015/09/11,2015/09/11
TS32231,102,2015/09/12,2015/09/12
TS32512,1,2015/04/07,2015/04/07
TS32578,30,2015/09/12,2015/09/12
TS32699,1,2015/07/10,2015/07/10
TS32815,28,2015/09/12,2015/09/12
TS32836,1,2015/07/24,2015/07/24
TS33425,2,2014/08/26,2014/08/26
TS33637,3,2015/08/07,2015/08/07
TS33749,74,2015/02/26,2015/02/26
TS33863,3,2015/04/11,2015/04/11
TS33901,5,2015/09/12,2015/09/12
TS34228,2,2015/01/28,2015/01/28
TS34480,4,2015/09/12,2015/09/12
TS35009,1,2015/07/25,2015/07/25
TS35484,1,2015/01/23,2015/01/23
TS35495,1,2015/08/01,2015/08/01
TS35967,1,2015/01/06,2015/01/06
TS36241,1,2015/06/01,2015/06/01
TS36243,42,2015/09/12,2015/09/12
TS36302,70,2015/02/24,2015/02/24
TS36377,4,2015/02/27,2015/02/27
TS36641,4,2015/01/21,2015/01/21
TS37121,6,2015/04/30,2015/04/30
TS37241,1,2015/02/17,2015/02/17
TS37316,5,2015/09/10,2015/09/10
TS37625,1,2015/01/23,2015/01/23
TS37786,3,2015/02/07,2015/02/07
TS38200,1,2015/03/09,2015/03/09
TS38282,6,2015/07/16,2015/07/16
TS38324,48,2015/09/12,2015/09/12
TS38392,2,2015/02/23,2015/02/23
TS38409,7,2015/06/17,2015/06/17
TS38617,5,2015/09/12,2015/09/12
TS38787,1,2015/01/29,2015/01/29
TS38815,6,2015/02/12,2015/02/12
TS38928,1,2015/09/02,2015/09/02
TS39102,6,2015/09/12,2015/09/12
TS39109,1,2015/09/08,2015/09/08
TS39165,4,2015/09/12,2015/09/12
TS39194,1,2015/03/24,2015/03/24
TS39870,1,2015/07/02,2015/07/02
TS40260,1,2015/07/17,2015/07/17
TS40677,2,2015/06/26,2015/06/26
TS40916,90,2015/02/24,2015/02/24
TS41102,2,2015/05/05,2015/05/05
TS41205,2,2015/03/05,2015/03/05
TS41324,1,2015/07/24,2015/07/24
TS41360,12,2015/05/13,2015/05/13
TS41474,4,2015/02/27,2015/02/27
TS41784,3,2015/09/11,2015/09/11
TS41965,1,2014/12/16,2014/12/16
TS42228,1,2015/08/04,2015/08/04
TS42238,7,2015/09/12,2015/09/12
TS42545,1,2015/08/24,2015/08/24
TS42662,3,2015/08/19,2015/08/19
TS42815,4,2014/11/22,2014/11/22
TS42952,1,2014/10/01,2014/10/01
TS43034,1,2015/03/24,2015/03/24
TS43130,1,2015/06/27,2015/06/27
TS43133,8,2015/09/12,2015/09/12
TS44776,4,2015/09/12,2015/09/12
TS45219,2,2015/02/26,2015/02/26
TS45240,32,2015/09/12,2015/09/12
TS45312,1,2015/01/24,2015/01/24
TS45399,5,2015/09/13,2015/09/13
TS45426,5,2015/08/26,2015/08/26
TS45543,1,2014/07/19,2014/07/19
TS45604,9,2015/09/09,2015/09/09
TS45651,2,2015/02/06,2015/02/06
TS45863,1,2015/03/13,2015/03/13
TS46145,5,2015/02/05,2015/02/05
TS46539,1,2015/09/04,2015/09/04
TS46832,3,2015/09/12,2015/09/12
TS47066,28,2015/09/11,2015/09/11
TS47092,2,2015/04/09,2015/04/09
TS47203,5,2015/09/12,2015/09/12
TS47436,6,2015/09/11,2015/09/11
TS47485,5,2015/06/24,2015/06/24
TS47664,13,2015/09/10,2015/09/10
TS48051,37,2015/09/12,2015/09/12
TS48123,2,2014/12/25,2014/12/25
TS48256,1,2015/08/11,2015/08/11
TS48578,28,2015/09/12,2015/09/12
TS48799,1,2015/03/16,2015/03/16
TS48903,10,2015/03/04,2015/03/04
TS49501,41,2015/09/11,2015/09/11
TS49732,48,2015/09/11,2015/09/11
TS49905,6,2015/09/11,2015/09/11
TS50446,1,2015/01/23,2015/01/23
TS50838,1,2015/01/07,2015/01/07
TS51088,1,2015/04/15,2015/04/15
TS51851,1,2015/04/14,2015/04/14
TS51999,1,2015/07/30,2015/07/30
TS52034,38,2015/09/11,2015/09/11
TS52099,3,2015/09/12,2015/09/12
TS52117,2,2015/08/24,2015/08/24
TS52681,1,2015/07/24,2015/07/24
TS52933,43,2015/09/11,2015/09/11
TS53042,3,2015/02/05,2015/02/05
TS53208,25,2015/09/09,2015/09/09
TS53252,1,2015/07/14,2015/07/14
TS54389,54,2015/09/12,2015/09/12
TS54494,6,2015/04/29,2015/04/29
TS54710,8,2015/09/12,2015/09/12
TS54912,180,2015/08/23,2015/08/23
TS54916,9,2015/03/11,2015/03/11
TS54935,1,2015/02/24,2015/02/24
TS55149,6,2015/08/28,2015/08/28
TS55331,1,2015/04/06,2015/04/06
TS55393,3,2015/07/17,2015/07/17
TS55512,3,2015/02/15,2015/02/15
TS55533,45,2015/09/11,2015/09/11
TS55971,1,2015/09/04,2015/09/04
TS55975,4,2015/07/14,2015/07/14
TS56009,46,2015/09/12,2015/09/12
TS56145,1,2015/01/31,2015/01/31
TS56271,42,2015/09/12,2015/09/12
TS56293,15,2015/09/11,2015/09/11
TS56385,1,2015/05/08,2015/05/08
TS56424,1,2015/07/20,2015/07/20
TS56426,3,2015/07/11,2015/07/11
TS56468,2,2015/07/23,2015/07/23
TS56735,40,2015/09/12,2015/09/12
TS56869,8,2015/03/17,2015/03/17
TS56872,1,2015/07/27,2015/07/27
TS57288,7,2015/09/12,2015/09/12
TS58116,1,2015/07/17,2015/07/17
TS58256,3,2014/07/19,2014/07/19
TS58289,1,2015/07/25,2015/07/25
TS58310,2,2015/07/18,2015/07/18
TS59258,34,2015/08/28,2015/08/28
TS59469,1,2015/07/17,2015/07/17
TS59516,1,2015/03/24,2015/03/24
TS60146,38,2015/09/12,2015/09/12
TS60147,1,2015/09/01,2015/09/01
TS60149,1,2015/02/25,2015/02/25
TS60372,34,2015/09/12,2015/09/12
TS60562,46,2015/09/11,2015/09/11
TS60833,1,2015/04/08,2015/04/08
TS60870,9,2015/08/31,2015/08/31
TS61092,10,2015/05/02,2015/05/02
TS61291,2,2015/03/18,2015/03/18
TS61454,2,2015/01/23,2015/01/23
TS61644,6,2015/09/12,2015/09/12
TS61928,1,2015/08/28,2015/08/28
TS63172,2,2015/07/17,2015/07/17
TS63608,2,2014/10/05,2014/10/05
TS63662,2,2015/04/09,2015/04/09
TS63693,2,2015/07/08,2015/07/08
TS63841,8,2015/09/04,2015/09/04
TS63985,30,2015/09/11,2015/09/11
TS64683,1,2015/03/27,2015/03/27
TS64706,2,2015/01/24,2015/01/24
TS64788,1,2015/02/17,2015/02/17
TS64974,28,2015/09/12,2015/09/12
TS65123,6,2015/06/26,2015/06/26
TS65160,1,2015/05/07,2015/05/07
TS65200,3,2015/09/12,2015/09/12
TS65308,1,2015/08/24,2015/08/24
TS65344,4,2015/09/12,2015/09/12
TS65364,1,2015/06/13,2015/06/13
TS65392,3,2015/02/27,2015/02/27
TS65429,54,2015/09/12,2015/09/12
TS65436,11,2015/08/31,2015/08/31
TS65660,1,2015/09/04,2015/09/04
TS65691,6,2015/09/12,2015/09/12
TS65923,23,2015/08/24,2015/08/24
TS66004,1,2015/07/29,2015/07/29
TS66582,1,2015/07/17,2015/07/17
TS66647,2,2015/07/06,2015/07/06
TS66700,1,2015/06/24,2015/06/24
TS66706,1,2015/08/11,2015/08/11
TS66833,1,2015/02/17,2015/02/17
TS66962,1,2015/02/14,2015/02/14
TS67318,1,2015/07/24,2015/07/24
TS67417,31,2015/09/12,2015/09/12
TS67463,1,2015/07/10,2015/07/10
TS67504,1,2015/09/04,2015/09/04
TS67579,1,2015/02/27,2015/02/27
TS67742,5,2015/09/12,2015/09/12
TS68344,5,2015/09/11,2015/09/11
TS68763,2,2015/02/24,2015/02/24
TS69254,29,2015/09/11,2015/09/11
TS69286,1,2015/07/14,2015/07/14
TS69292,49,2015/02/24,2015/02/24
TS69325,4,2015/09/12,2015/09/12
TS69440,8,2015/09/04,2015/09/04
TS69591,2,2015/03/19,2015/03/19
TS70107,9,2015/05/01,2015/05/01
TS70314,5,2015/09/11,2015/09/11
TS70716,2,2015/08/28,2015/08/28
TS70785,14,2015/09/10,2015/09/10
TS71061,1,2015/07/22,2015/07/22
TS71146,2,2015/03/16,2015/03/16
TS71450,1,2015/09/04,2015/09/04
TS71610,6,2015/09/04,2015/09/04
TS71661,1,2014/10/05,2014/10/05
TS71911,3,2015/09/04,2015/09/04
TS71964,2,2014/12/21,2014/12/21
TS72248,2,2015/08/14,2015/08/14
TS72293,1,2015/09/02,2015/09/02
TS72711,1,2015/07/02,2015/07/02
TS72866,3,2015/09/12,2015/09/12
TS72890,3,2015/09/12,2015/09/12
TS73211,3,2015/07/30,2015/07/30
TS73350,1,2015/07/25,2015/07/25
TS73369,16,2015/09/10,2015/09/10
TS73415,7,2015/09/12,2015/09/12
TS73512,1,2015/08/10,2015/08/10
TS73566,1,2015/04/09,2015/04/09
TS73976,5,2015/09/12,2015/09/12
TS74389,1,2015/07/01,2015/07/01
TS74516,1,2015/06/27,2015/06/27
TS74524,7,2015/07/28,2015/07/28
TS74653,1,2015/01/07,2015/01/07
TS74734,1,2015/01/27,2015/01/27
TS74765,3,2015/04/06,2015/04/06
TS74821,27,2015/09/11,2015/09/11
TS74873,1,2015/07/17,2015/07/17
TS74935,3,2015/09/12,2015/09/12
TS75059,101,2015/04/06,2015/04/06
TS75768,8,2015/08/31,2015/08/31
TS75787,61,2015/09/12,2015/09/12
TS75968,1,2015/08/26,2015/08/26
TS76296,1,2015/07/28,2015/07/28
TS76425,5,2015/08/31,2015/08/31
TS76470,1,2014/10/11,2014/10/11
TS76519,42,2015/09/12,2015/09/12
TS76932,3,2014/11/20,2014/11/20
TS77131,6,2015/09/11,2015/09/11
TS77314,3,2015/09/12,2015/09/12
TS77999,88,2015/02/25,2015/02/25
TS78302,1,2015/07/01,2015/07/01
TS78388,3,2015/09/12,2015/09/12
TS78395,1,2015/08/17,2015/08/17
TS78458,1,2015/07/23,2015/07/23
TS78574,1,2015/04/28,2015/04/28
TS78645,29,2015/09/11,2015/09/11
TS78872,7,2015/02/17,2015/02/17
TS79074,28,2015/09/11,2015/09/11
TS79409,1,2015/02/03,2015/02/03
TS79757,2,2015/09/02,2015/09/02
TS79762,2,2015/01/23,2015/01/23
TS79869,2,2015/01/04,2015/01/04
TS79966,1,2015/09/06,2015/09/06
TS80529,77,2015/02/24,2015/02/24
TS81091,4,2015/08/07,2015/08/07
TS81114,38,2015/09/08,2015/09/08
TS81244,8,2015/09/10,2015/09/10
TS81296,1,2015/03/07,2015/03/07
TS81449,2,2015/04/24,2015/04/24
TS81453,40,2015/09/12,2015/09/12
TS81846,1,2015/04/22,2015/04/22
TS82236,1,2015/07/21,2015/07/21
TS82520,1,2015/01/24,2015/01/24
TS82815,1,2015/07/06,2015/07/06
TS82955,1,2015/06/08,2015/06/08
TS83642,68,2015/02/24,2015/02/24
TS83915,2,2015/02/24,2015/02/24
TS83960,25,2015/03/25,2015/03/25
TS84010,1,2015/01/07,2015/01/07
TS84048,1,2015/07/02,2015/07/02
TS84071,36,2015/09/09,2015/09/09
TS84193,8,2015/09/04,2015/09/04
TS84365,1,2015/08/07,2015/08/07
TS84666,5,2015/08/31,2015/08/31
TS84703,9,2015/09/09,2015/09/09
TS84791,6,2015/01/31,2015/01/31
TS84968,1,2015/09/02,2015/09/02
TS85243,32,2015/09/12,2015/09/12
TS85282,5,2015/09/12,2015/09/12
TS85324,1,2014/10/18,2014/10/18
TS85491,1,2014/07/19,2014/07/19
TS85986,8,2015/08/13,2015/08/13
TS86055,1,2015/08/17,2015/08/17
TS86235,1,2015/01/10,2015/01/10
TS86545,5,2015/03/26,2015/03/26
TS86772,1,2015/09/03,2015/09/03
TS86863,7,2015/02/14,2015/02/14
TS87063,15,2015/09/10,2015/09/10
TS87206,5,2015/09/12,2015/09/12
TS87261,1,2015/08/19,2015/08/19
TS87827,2,2015/04/09,2015/04/09
TS87955,55,2015/09/04,2015/09/04
TS88333,5,2015/07/02,2015/07/02
TS88635,3,2015/06/24,2015/06/24
TS88694,2,2015/02/06,2015/02/06
TS88969,1,2015/08/17,2015/08/17
TS89061,1,2015/03/25,2015/03/25
TS89178,2,2015/04/14,2015/04/14
TS89337,8,2015/09/11,2015/09/11
TS89842,1,2015/09/12,2015/09/12
TS89874,42,2015/09/11,2015/09/11
TS90018,1,2015/08/04,2015/08/04
TS90077,38,2015/09/11,2015/09/11
TS90457,1,2015/04/29,2015/04/29
TS90754,3,2015/07/20,2015/07/20
TS90853,1,2015/07/30,2015/07/30
TS91073,1,2014/10/08,2014/10/08
TS91079,1,2015/04/17,2015/04/17
TS91374,1,2015/06/24,2015/06/24
TS91465,1,2015/07/23,2015/07/23
TS91472,1,2015/09/11,2015/09/11
TS91684,2,2015/08/24,2015/08/24
TS92055,1,2015/02/05,2015/02/05
TS92092,32,2015/09/12,2015/09/12
TS92100,2,2015/07/01,2015/07/01
TS92510,6,2015/09/12,2015/09/12
TS92569,27,2015/09/12,2015/09/12
TS92799,2,2015/04/06,2015/04/06
TS93325,6,2015/09/04,2015/09/04
TS93428,1,2015/02/10,2015/02/10
TS93764,42,2015/02/24,2015/02/24
TS93775,8,2015/08/28,2015/08/28
TS93986,8,2015/09/04,2015/09/04
TS94556,1,2015/09/12,2015/09/12
TS94657,1,2015/07/29,2015/07/29
TS95404,1,2015/01/15,2015/01/15
TS95465,3,2015/02/28,2015/02/28
TS95512,63,2015/08/14,2015/08/14
TS95662,3,2015/01/27,2015/01/27
TS95686,78,2015/02/24,2015/02/24
TS95751,28,2015/09/12,2015/09/12
TS95949,9,2015/05/01,2015/05/01
TS96302,33,2015/09/12,2015/09/12
TS96556,2,2015/08/19,2015/08/19
TS96874,8,2015/09/12,2015/09/12
TS96974,1,2015/01/23,2015/01/23
TS97080,1,2015/04/08,2015/04/08
TS97352,1,2015/07/17,2015/07/17
TS97544,7,2015/09/12,2015/09/12
TS97608,13,2015/09/10,2015/09/10
TS97736,1,2015/09/04,2015/09/04
TS98014,21,2015/08/24,2015/08/24
TS98062,6,2015/09/12,2015/09/12
TS98066,8,2015/09/04,2015/09/04
TS98261,1,2015/01/31,2015/01/31
TS98329,1,2015/01/27,2015/01/27
TS98348,1,2015/06/26,2015/06/26
TS98568,1,2015/04/30,2015/04/30
TS99161,1,2015/01/15,2015/01/15
TS99164,6,2015/09/12,2015/09/12
TS99502,1,2015/07/30,2015/07/30
TS99531,5,2015/06/26,2015/06/26
TS99751,5,2015/08/31,2015/08/31
TS99818,6,2015/09/13,2015/09/13
TS99822,1,2015/08/10,2015/08/10
TUT3627,1,2015/06/07,2015/06/07
TUT6136,3,2015/05/18,2015/05/18
UDI9275,3,2015/07/27,2015/07/27
UJW7326,1,2015/08/03,2015/08/03
UJW7999,1,2015/08/03,2015/08/03
UMA6459,3,2015/07/26,2015/07/26
VAI1811,4,2015/08/07,2015/08/07
VAI4531,8,2015/08/07,2015/08/07
VAI9473,3,2015/08/07,2015/08/07
VAI9802,9,2015/08/07,2015/08/07
VAZ0725,3,2015/08/06,2015/08/06
VAZ3144,199,2015/09/11,2015/09/11
VAZ4262,7,2015/09/09,2015/09/09
VAZ7342,38,2015/08/31,2015/08/31
VAZ9976,2,2015/08/06,2015/08/06
VER3825,1,2015/07/07,2015/07/07
VER3985,2,2015/08/21,2015/08/21
VIK0320,1,2015/06/13,2015/06/13
VIK1822,1,2015/09/04,2015/09/04
VIK4158,1,2015/07/17,2015/07/17
VIK4931,2,2015/08/07,2015/08/07
VIK5366,1,2015/08/06,2015/08/06
VIS6138,5,2015/07/06,2015/07/06
VIS8977,2,2015/09/04,2015/09/04
VIS9497,3,2015/07/02,2015/07/02
VIV6831,1,2015/04/09,2015/04/09
VOR2981,8,2015/09/11,2015/09/11
VOR9755,9,2015/09/11,2015/09/11
WAD0807,2,2015/08/16,2015/08/16
WAD1039,3,2015/08/16,2015/08/16
WAD1281,2,2015/08/19,2015/08/19
WAD1613,1,2015/08/09,2015/08/09
WAD3062,1,2015/08/11,2015/08/11
WAD3075,2,2015/08/16,2015/08/16
WAD3560,2,2015/08/16,2015/08/16
WAD5985,2,2015/08/16,2015/08/16
WAD7576,3,2015/08/19,2015/08/19
WAD9557,3,2015/08/19,2015/08/19
YAD6359,1,2015/07/03,2015/07/03
YAS2831,3,2015/03/25,2015/03/25
YAS6727,1,2015/06/22,2015/06/22
YAS9115,1,2015/07/23,2015/07/23
YUN5456,3,2015/08/28,2015/08/28
YUN7808,2,2015/08/28,2015/08/28
ZAH6945,3,2015/06/23,2015/06/23
ZBK3694,3,2015/07/26,2015/07/26
ZDS4976,6,2015/08/29,2015/08/29
ZEL8533,1,2015/08/19,2015/08/19
ZKV8379,1,2015/06/30,2015/06/30
ZR.4232,3,2015/05/05,2015/05/05
ZSB2474,1,2015/07/06,2015/07/06
ZSR5105,3,2015/04/29,2015/04/29
ZSR6946,4,2015/06/12,2015/06/12
ZYB4134,1,2015/07/17,2015/07/17
ZYK6992,1,2015/07/30,2015/07/30
ZYS0578,1,2015/06/27,2015/06/27
ZYS2835,1,2015/06/27,2015/06/27
ZYX9258,2,2015/06/25,2015/06/25
ZZZ4138,2,2015/08/06,2015/08/06
