Class Code,SUM(Message),MINIMUM(Sent Date),MAXIMUM(Sent Date)
HAR5454,1,2015/07/23,2015/07/23
HAR5561,5,2015/09/03,2015/09/03
HAR7352,10,2015/08/24,2015/08/24
HAR7431,1,2015/07/25,2015/07/25
HAR7530,31,2015/09/08,2015/09/08
HAR7687,16,2015/08/19,2015/08/19
HAR7721,1,2015/07/31,2015/07/31
HEA9238,2,2015/08/06,2015/08/06
IDA3280,2,2015/08/31,2015/08/31
IND2989,1,2015/08/02,2015/08/02
INT5435,3,2015/07/21,2015/07/21
INT8440,2,2015/07/23,2015/07/23
JAG0361,1,2015/08/04,2015/08/04
JAI0145,1,2015/07/27,2015/07/27
JAI0353,2,2015/07/28,2015/07/28
JAI2016,1,2015/07/19,2015/07/19
JAI3004,1,2015/07/27,2015/07/27
JAI3582,1,2015/06/18,2015/06/18
JAI3641,1,2015/07/19,2015/07/19
JAI4793,2,2015/09/01,2015/09/01
JAI4865,4,2015/07/18,2015/07/18
JAI5442,4,2015/06/19,2015/06/19
JAI5516,1,2015/07/27,2015/07/27
JAI8828,1,2015/07/27,2015/07/27
JAM3745,2,2015/05/29,2015/05/29
JAM6765,1,2015/08/17,2015/08/17
JAN1581,7,2015/09/11,2015/09/11
JAN8782,3,2015/08/28,2015/08/28
JAS1998,9,2015/09/09,2015/09/09
JAS2846,1,2015/08/10,2015/08/10
JAS9719,1,2015/08/26,2015/08/26
JAY0362,1,2015/06/25,2015/06/25
JAY0925,3,2015/07/25,2015/07/25
JAY2811,1,2015/07/24,2015/07/24
JAY4544,2,2015/08/28,2015/08/28
JAY4873,1,2015/08/26,2015/08/26
JAY5836,443,2015/09/13,2015/09/13
JAY6031,4,2015/08/28,2015/08/28
JAY9180,2,2015/08/28,2015/08/28
JES0745,1,2015/09/02,2015/09/02
JOS8808,1,2015/09/06,2015/09/06
JUM5743,3,2015/07/26,2015/07/26
JUM6505,1,2015/06/25,2015/06/25
JYO0369,1,2015/07/22,2015/07/22
