Class Code,SUM(Subscriber),MINIMUM(Joined Date)
TS65660,35,2015/09/04
TS65691,15,2015/09/02
TS65923,294,2015/05/07
TS66004,1,2015/07/29
TS66582,54,2015/07/07
TS66647,1,2015/07/06
TS66700,131,2015/06/23
TS66706,1,2015/08/11
TS66833,1,2015/02/17
TS67318,22,2015/07/24
TS67417,49,2015/07/31
TS67742,39,2015/09/02
TS68344,48,2015/07/29
TS68763,1,2015/02/24
TS69254,56,2015/08/04
TS69292,56,2014/10/04
TS69325,43,2015/09/02
TS69440,22,2015/08/01
TS69591,1,2015/02/26
TS70107,8,2015/02/23
TS70314,46,2015/07/28
TS70711,37,2015/07/25
TS70730,49,2015/07/27
TS70785,8,2015/06/06
TS71061,53,2015/07/22
TS71146,1,2015/03/16
TS71450,11,2015/09/03
TS71495,1,2015/04/01
TS71610,27,2015/08/01
TS71911,1,2015/09/04
TS72248,1,2015/08/14
TS72293,1,2015/09/02
TS72711,2,2015/07/02
TS72866,31,2015/09/02
TS72890,27,2015/09/02
TS73211,3,2015/07/29
TS73350,44,2015/07/25
TS73369,6,2014/12/22
TS73415,21,2015/09/02
TS73566,1,2015/04/09
TS73976,39,2015/09/02
TS73988,1,2015/08/20
TS74389,1,2015/07/01
TS74516,1,2015/06/27
TS74524,145,2015/07/12
TS74765,3,2015/04/06
TS74821,36,2015/08/19
TS74873,38,2015/07/10
TS74935,34,2015/09/02
TS75059,65,2014/10/04
TS75768,40,2015/08/03
TS75787,51,2015/07/30
TS75939,1,2014/12/16
TS75968,2,2015/08/26
TS76225,1,2015/01/23
TS76296,1,2015/07/28
TS76425,1,2015/08/31
TS76470,1,2014/10/11
TS76519,40,2015/07/30
TS77131,56,2015/07/29
TS77314,31,2015/09/02
TS77999,74,2014/10/04
TS78302,2,2015/07/01
TS78388,44,2015/09/02
TS78395,1,2015/08/17
TS78574,1,2015/04/28
TS78645,43,2015/08/04
TS78719,1,2015/01/10
TS78872,3,2015/02/14
TS79034,1,2015/08/19
TS79074,43,2015/08/04
TS79409,2,2015/02/03
TS79757,1,2015/09/02
TS79762,1,2015/01/23
TS79869,1,2015/01/04
TS79966,1,2015/09/06
TS80194,1,2015/08/20
TS80529,68,2014/10/04
TS80805,69,2015/07/23
TS81091,2,2015/08/07
TS81114,64,2015/04/07
TS81244,49,2015/07/29
TS81453,38,2015/07/30
TS83261,5,2015/08/19
TS83642,33,2014/10/04
TS83960,2,2015/03/04
TS84048,1,2015/07/02
TS84071,66,2015/04/06
TS84193,27,2015/08/03
TS84365,2,2015/08/07
TS84666,68,2015/07/28
TS84703,35,2015/09/01
TS84783,2,2015/08/19
TS84791,2,2015/01/26
TS84968,2,2015/09/02
TS84972,1,2015/03/12
TS85243,46,2015/07/31
TS85282,22,2015/09/03
TS85986,1,2015/08/13
TS86055,1,2015/08/17
TS86235,1,2015/01/10
TS86545,1,2015/03/26
TS86772,1,2015/09/03
TS86863,5,2015/01/31
TS87063,8,2015/06/10
TS87206,17,2015/09/04
TS87261,1,2015/08/19
TS87827,2,2015/04/09
TS87955,55,2014/10/04
TS88179,1,2015/09/02
TS88333,15,2015/07/02
TS88395,8,2015/08/20
TS88526,1,2015/01/09
TS88635,59,2015/03/04
TS88694,1,2015/02/06
TS89178,1,2015/04/14
TS89337,6,2015/08/19
TS89842,15,2015/09/02
TS89844,1,2015/08/19
TS89874,59,2015/04/07
TS89995,1,2014/10/28
TS90018,1,2015/08/04
TS90077,56,2015/04/07
TS90457,1,2015/04/29
TS90754,4,2015/07/15
TS90853,1,2015/07/30
TS91073,1,2014/10/09
TS91472,1,2015/09/11
TS91684,1,2015/08/24
TS92055,2,2015/02/04
TS92092,27,2015/07/31
TS92100,2,2015/07/01
TS92175,1,2015/08/21
TS92510,34,2015/09/02
TS92569,45,2015/07/31
TS92799,2,2015/04/06
TS93325,19,2015/08/01
TS93428,1,2015/02/10
TS93764,56,2014/10/04
TS93775,42,2015/07/28
TS93986,17,2015/08/01
TS93987,7,2015/08/20
TS94556,9,2015/09/04
TS94657,4,2015/07/29
TS94936,6,2015/02/03
TS95056,6,2015/02/04
TS95465,2,2015/02/28
TS95512,18,2014/10/04
TS95662,1,2015/01/27
TS95686,56,2014/10/04
TS95751,36,2015/07/31
TS95949,14,2015/02/23
TS96218,1,2015/04/06
TS96302,41,2015/07/31
TS96556,1,2015/08/19
TS96874,33,2015/09/02
TS97080,2,2015/04/08
TS97352,80,2015/07/08
TS97544,24,2015/09/02
TS97608,23,2015/06/06
TS98014,455,2015/05/07
TS98062,45,2015/09/02
TS98066,18,2015/08/01
TS98261,1,2015/01/31
TS98348,1,2015/06/26
TS98633,28,2015/07/23
TS99164,30,2015/09/02
TS99502,1,2015/07/30
TS99531,232,2015/03/02
TS99751,53,2015/07/28
TS99818,56,2015/07/29
TS99822,2,2015/08/10
TUT3627,6,2015/05/07
TUT6136,30,2015/05/07
UDI9275,1,2015/06/18
UJW7326,1,2015/08/01
UJW7999,8,2015/08/01
UMA1518,17,2015/07/25
UMA6459,1,2015/07/26
VAI1811,19,2015/06/10
VAI4531,13,2015/06/09
VAI9473,7,2015/06/09
VAI9802,21,2015/06/09
VAZ0725,8,2015/07/24
VAZ3144,73,2015/07/16
VAZ4262,28,2015/07/20
VAZ7342,61,2015/07/10
VAZ9976,30,2015/07/22
VER3543,25,2015/08/22
VER3761,3,2015/07/10
VER3825,2,2015/07/07
VER3985,10,2015/08/14
VIK0320,1,2015/06/13
VIK1822,1,2015/09/04
VIK3375,1,2015/04/18
VIK4158,1,2015/07/17
VIK4557,1,2015/07/31
VIK4931,1,2015/08/07
VIS0593,1,2015/07/18
VIS6138,12,2015/04/14
VIS8740,4,2015/04/14
VIS8977,1,2015/09/04
VIS9497,1,2015/06/30
VIV6831,2,2015/04/09
VOR2981,7,2015/07/01
VOR9755,10,2015/06/30
WAD0807,15,2015/08/06
WAD1039,13,2015/07/28
WAD1111,25,2015/08/07
WAD1281,24,2015/08/06
WAD1613,19,2015/08/07
WAD3062,19,2015/08/06
WAD3075,25,2015/08/07
WAD3560,30,2015/08/07
WAD5009,17,2015/08/11
WAD5985,40,2015/08/05
WAD7576,16,2015/07/28
WAD9557,26,2015/07/28
WMS8787,1,2015/09/05
YAD6359,3,2015/07/03
YAS2831,1,2015/03/25
YAS6727,1,2015/06/21
YAS8306,1,2015/08/25
YAS9115,1,2015/07/23
YCP3209,7,2015/08/25
YOG5398,1,2015/04/10
YOG6038,1,2015/09/08
YUN5456,1,2015/08/16
YUN7808,14,2015/08/17
ZAH6945,7,2015/06/23
ZBK3694,9,2015/07/02
ZDS2639,7,2015/08/11
ZDS4976,30,2015/08/05
ZEL8533,1,2015/08/19
ZKV1400,6,2015/07/02
ZKV8379,1,2015/06/30
ZKV8549,18,2015/07/02
ZR.4232,3,2015/05/05
ZSB2474,1,2015/07/06
ZSK2466,2,2015/08/25
ZSR5105,88,2015/04/08
ZSR6946,111,2015/04/08
ZYB4134,1,2015/07/20
ZYK6992,9,2015/07/20
ZYS0578,2,2015/06/27
ZYS2835,1,2015/06/27
ZYX0162,1,2015/07/13
ZYX7763,1,2015/06/25
ZYX9258,2,2015/06/25
