Class Code,SUM(Subscriber),MINIMUM(Joined Date)
ATU4147,1,2015/06/08
AUD3260,18,2015/07/31
AVE9947,1,2015/09/08
AVN3233,1,2015/09/02
AYU0908,1,2015/08/25
BAC1144,4,2015/07/16
BAC8850,2,2015/07/16
BAJ1422,41,2015/07/17
BAJ3635,16,2015/07/20
BAJ9602,14,2015/07/17
BAN4304,3,2015/07/22
BET1037,2,2015/06/12
BET4487,3,2015/09/03
BET5258,18,2015/06/09
BHA0313,2,2015/06/19
BHA1861,1,2015/04/03
BHA6181,1,2015/09/08
BIN2558,1,2015/03/24
BIN7229,1,2015/08/01
BIS3234,2,2015/06/30
BIS3553,12,2015/07/18
BON0151,1,2015/07/28
BOR1524,53,2015/07/10
CAR8000,32,2015/08/22
CAR9757,19,2015/08/22
CHA0298,39,2015/07/21
CHA3266,1,2015/07/01
CHA5677,1,2015/09/11
CHA8933,1,2015/08/11
CHO4787,1,2015/07/07
CIC0563,32,2015/08/24
CLA0027,31,2015/06/12
CLA0118,1,2015/05/29
CLA1000,15,2015/07/16
CLA1133,1,2015/07/19
CLA1223,27,2015/06/10
CLA1413,31,2015/06/11
CLA1856,1,2015/06/27
CLA1880,2,2015/06/30
CLA1884,17,2015/06/27
CLA2386,3,2015/06/27
CLA2891,23,2015/06/27
CLA4324,1,2015/06/26
CLA4662,20,2015/06/17
CLA5837,63,2015/06/12
CLA6279,56,2015/06/07
CLA7265,60,2015/06/10
CLA7627,59,2015/06/11
CLA7894,13,2015/06/27
CLA7985,19,2015/06/11
CLA9198,16,2015/06/27
CLA9488,17,2015/07/17
CLA9611,27,2015/06/10
COM3712,8,2015/07/11
DAR6862,1,2015/09/08
DAY0334,1,2015/09/05
DEE0101,11,2015/09/04
DEE4444,2,2015/08/10
DEE7641,7,2015/09/10
DEE7847,10,2015/09/09
DEM7135,1,2015/06/17
DEN0115,2,2015/07/23
DEV0856,5,2015/07/28
DEV3082,31,2015/07/21
DEV3804,27,2015/07/24
DEV4380,2,2015/09/01
DEV5422,55,2015/07/16
DEV6013,26,2015/07/24
DHA0520,1,2015/07/18
DHA1888,1,2015/09/03
DHA2542,3,2015/07/18
DHA2580,5,2015/07/17
DHA3047,4,2015/07/17
DHA3158,2,2015/07/18
DHA3645,1,2015/07/16
DHA3951,6,2015/07/14
DHA4166,1,2015/07/17
DHA4418,1,2015/07/17
DHA4838,3,2015/08/15
DHA5159,1,2015/07/18
DHA5321,1,2015/07/01
DHA6472,2,2015/07/06
DHA7266,1,2015/08/26
DHA7591,1,2015/08/06
DHA7739,1,2015/08/26
DHA8195,1,2015/09/01
DHA8199,1,2015/09/02
DHA8349,1,2015/07/14
DHA8619,2,2015/08/06
DHI1269,39,2015/08/25
DIG6252,1,2015/09/01
DIG9358,2,2015/08/30
DIM3415,4,2015/08/17
DIM9494,2,2015/08/20
DIS8627,1,2015/08/10
DIV5686,3,2015/06/24
DOM8037,1,2015/09/04
DRH7748,12,2015/09/02
ERT6403,19,2015/09/08
EST0650,33,2015/08/25
EUR4042,3,2015/08/17
FAA4232,10,2015/06/03
FAA5175,5,2015/06/03
FAR4782,28,2015/07/23
FAR7560,23,2015/07/31
FAT7534,1,2015/08/17
FAT9969,1,2015/08/02
FEL6108,35,2015/08/21
FER9413,38,2015/07/08
FIR9767,1,2015/08/19
FLO8341,1,2015/09/08
GAI2127,21,2015/06/08
GAN0044,1,2015/08/25
GAR5354,14,2015/09/10
GEE3999,22,2015/08/18
GEN3007,104,2015/05/04
GER6734,1,2015/09/08
GHO2734,10,2015/07/19
GHO3243,7,2015/07/21
GHO7845,2,2015/07/20
GOS3520,1,2015/08/01
GOS6217,54,2015/07/31
GRE7453,35,2015/08/21
GRE9457,22,2015/08/22
GRO4113,1,2015/08/24
GUL0054,26,2015/07/08
GUL5310,2,2015/09/02
GUL7159,7,2015/09/10
GUP1366,10,2015/09/02
GUP1776,12,2015/09/02
GUP4428,10,2015/09/02
GUP4937,15,2015/09/02
GUP7616,15,2015/09/02
GUR7844,1,2015/04/03
GYA0565,1,2015/07/31
GYA2430,1,2015/08/07
GYA3575,1,2015/07/24
HAB2709,30,2015/09/03
HAF8961,1,2015/03/22
HAP0476,11,2015/08/18
HAP2838,14,2015/08/17
HAP4801,8,2015/08/20
HAP4899,6,2015/08/17
HAP9530,16,2015/08/18
HAR0120,2,2015/09/05
HAR0346,2,2015/09/05
HAR0943,3,2015/06/23
HAR2164,11,2015/06/27
HAR2302,36,2015/06/22
HAR3390,2,2015/09/04
HAR3851,10,2015/06/23
HAR4964,5,2015/06/24
HAR5217,10,2015/06/23
HAR5561,31,2015/06/25
HAR7352,1,2015/06/23
HAR7431,5,2015/06/25
HAR7530,4,2015/06/22
HAR7687,4,2015/06/26
HEM9138,1,2015/09/06
HIT1188,1,2015/04/22
IDA3280,60,2015/08/22
JAI0353,1,2015/07/28
JAI3004,3,2015/07/16
JAI3582,1,2015/06/18
